"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 31, 2021","4,649.25","4,743.45","4,843.80","4,584.24","0.43K","-1.99%"
"Dec 30, 2021","4,743.45","4,645.56","4,804.85","4,589.00","0.13K","2.11%"
"Dec 29, 2021","4,645.56","4,869.29","4,914.04","4,604.84","0.15K","-4.59%"
"Dec 28, 2021","4,869.29","5,168.44","5,168.44","4,814.38","0.18K","-5.79%"
"Dec 27, 2021","5,168.44","5,210.39","5,272.02","5,159.81","0.10K","-0.81%"
"Dec 26, 2021","5,210.39","5,249.62","5,253.25","5,122.97","0.12K","-0.75%"
"Dec 25, 2021","5,249.62","5,168.00","5,287.88","5,151.45","0.07K","1.58%"
"Dec 24, 2021","5,168.00","5,267.83","5,285.85","5,151.03","0.16K","-1.90%"
"Dec 23, 2021","5,267.83","5,116.96","5,309.36","5,000.00","0.11K","2.95%"
"Dec 22, 2021","5,116.96","5,191.00","5,246.54","5,091.00","0.07K","-1.43%"
"Dec 21, 2021","5,191.00","5,080.00","5,246.68","5,031.42","0.31K","2.19%"
"Dec 20, 2021","5,080.00","5,046.86","5,110.30","4,813.11","0.13K","0.66%"
"Dec 19, 2021","5,046.86","5,048.95","5,103.60","4,964.66","0.08K","-0.04%"
"Dec 18, 2021","5,048.95","5,016.57","5,092.99","4,847.33","0.11K","0.65%"
"Dec 17, 2021","5,016.57","5,053.00","5,094.82","4,700.00","0.48K","-0.72%"
"Dec 16, 2021","5,053.00","5,142.38","5,240.00","5,046.51","0.26K","-1.74%"
"Dec 15, 2021","5,142.38","4,967.52","5,234.41","4,730.85","0.32K","3.52%"
"Dec 14, 2021","4,967.52","4,838.33","4,982.92","4,711.16","0.35K","2.67%"
"Dec 13, 2021","4,838.33","5,260.97","5,263.63","4,700.00","0.41K","-8.03%"
"Dec 12, 2021","5,260.97","5,187.19","5,316.35","5,091.43","0.09K","1.42%"
"Dec 11, 2021","5,187.19","4,968.43","5,215.42","4,886.00","0.19K","4.40%"
"Dec 10, 2021","4,968.43","5,230.03","5,362.15","4,952.21","0.29K","-5.00%"
"Dec 09, 2021","5,230.03","5,600.12","5,656.23","5,166.03","0.27K","-6.61%"
"Dec 08, 2021","5,600.12","5,448.74","5,624.06","5,336.48","0.94K","2.78%"
"Dec 07, 2021","5,448.74","5,540.36","5,624.55","5,380.22","0.43K","-1.65%"
"Dec 06, 2021","5,540.36","5,388.83","5,562.61","5,026.30","0.72K","2.81%"
"Dec 05, 2021","5,388.83","5,295.08","5,453.72","5,200.00","0.19K","1.77%"
"Dec 04, 2021","5,295.08","5,423.09","5,455.95","4,644.85","0.73K","-2.36%"
"Dec 03, 2021","5,423.09","5,768.86","5,945.51","5,200.00","0.45K","-5.99%"
"Dec 02, 2021","5,768.86","5,840.67","5,914.03","5,678.92","0.52K","-1.23%"
"Dec 01, 2021","5,840.67","5,892.14","6,050.00","5,775.00","0.42K","-0.87%"
"Nov 30, 2021","5,892.14","5,640.85","6,014.40","5,542.73","0.56K","4.45%"
"Nov 29, 2021","5,640.85","5,436.74","5,657.86","5,359.96","0.90K","3.75%"
"Nov 28, 2021","5,436.74","5,223.33","5,448.01","5,069.60","0.18K","4.09%"
"Nov 27, 2021","5,223.33","5,161.60","5,340.86","5,150.21","0.18K","1.20%"
"Nov 26, 2021","5,161.60","5,738.56","5,762.30","5,000.00","0.59K","-10.05%"
