"Date","Price","Open","High","Low","Change %"
"Dec 31, 2021","1.2634","1.2741","1.2751","1.2621","-0.83%"
"Dec 30, 2021","1.2740","1.2796","1.2814","1.2734","-0.38%"
"Dec 29, 2021","1.2788","1.2820","1.2837","1.2787","-0.27%"
"Dec 28, 2021","1.2822","1.2787","1.2832","1.2780","0.31%"
"Dec 27, 2021","1.2783","1.2812","1.2849","1.2779","-0.21%"
"Dec 24, 2021","1.2810","1.2809","1.2836","1.2786","0.01%"
"Dec 23, 2021","1.2809","1.2836","1.2854","1.2797","-0.19%"
"Dec 22, 2021","1.2833","1.2917","1.2925","1.2832","-0.60%"
"Dec 21, 2021","1.2910","1.2940","1.2949","1.2911","-0.24%"
"Dec 20, 2021","1.2941","1.2893","1.2965","1.2882","0.43%"
"Dec 17, 2021","1.2886","1.2773","1.2903","1.2770","0.91%"
"Dec 16, 2021","1.2770","1.2835","1.2859","1.2761","-0.47%"
"Dec 15, 2021","1.2830","1.2861","1.2938","1.2828","-0.24%"
"Dec 14, 2021","1.2861","1.2805","1.2866","1.2795","0.45%"
"Dec 13, 2021","1.2804","1.2725","1.2823","1.2705","0.66%"
"Dec 10, 2021","1.2720","1.2714","1.2739","1.2679","0.06%"
"Dec 09, 2021","1.2713","1.2656","1.2723","1.2649","0.49%"
"Dec 08, 2021","1.2651","1.2639","1.2668","1.2607","0.10%"
"Dec 07, 2021","1.2638","1.2753","1.2768","1.2635","-0.91%"
"Dec 06, 2021","1.2754","1.2828","1.2844","1.2751","-0.69%"
"Dec 03, 2021","1.2842","1.2804","1.2855","1.2741","0.27%"
"Dec 02, 2021","1.2808","1.2817","1.2839","1.2776","-0.07%"
"Dec 01, 2021","1.2817","1.2778","1.2831","1.2711","0.32%"
"Nov 30, 2021","1.2776","1.2743","1.2838","1.2728","0.30%"
"Nov 29, 2021","1.2738","1.2793","1.2795","1.2718","-0.38%"
"Nov 26, 2021","1.2786","1.2648","1.2801","1.2645","1.09%"
"Nov 25, 2021","1.2648","1.2665","1.2679","1.2638","-0.14%"
"Nov 24, 2021","1.2666","1.2667","1.2711","1.2648","0.02%"
"Nov 23, 2021","1.2664","1.2702","1.2745","1.2658","-0.27%"
"Nov 22, 2021","1.2698","1.2634","1.2706","1.2625","0.47%"
"Nov 19, 2021","1.2638","1.2601","1.2664","1.2582","0.30%"
"Nov 18, 2021","1.2600","1.2611","1.2648","1.2590","-0.04%"
"Nov 17, 2021","1.2605","1.2559","1.2623","1.2538","0.36%"
"Nov 16, 2021","1.2560","1.2516","1.2569","1.2490","0.39%"
"Nov 15, 2021","1.2511","1.2550","1.2557","1.2499","-0.25%"
"Nov 12, 2021","1.2542","1.2579","1.2606","1.2539","-0.28%"
"Nov 11, 2021","1.2577","1.2492","1.2598","1.2474","0.70%"
"Nov 10, 2021","1.2489","1.2437","1.2505","1.2385","0.43%"
"Nov 09, 2021","1.2436","1.2443","1.2487","1.2426","-0.04%"
"Nov 08, 2021","1.2441","1.2462","1.2467","1.2433","-0.10%"
"Nov 05, 2021","1.2454","1.2457","1.2480","1.2433","-0.01%"
"Nov 04, 2021","1.2455","1.2391","1.2473","1.2375","0.53%"
"Nov 03, 2021","1.2389","1.2405","1.2458","1.2379","-0.16%"
"Nov 02, 2021","1.2409","1.2370","1.2426","1.2365","0.34%"
"Nov 01, 2021","1.2367","1.2394","1.2405","1.2350","-0.16%"
"Oct 29, 2021","1.2387","1.2346","1.2409","1.2328","0.36%"
"Oct 28, 2021","1.2342","1.2355","1.2384","1.2330","-0.11%"
"Oct 27, 2021","1.2356","1.2389","1.2433","1.2301","-0.26%"
"Oct 26, 2021","1.2388","1.2380","1.2398","1.2349","0.06%"
"Oct 25, 2021","1.2381","1.2369","1.2400","1.2337","0.11%"
"Oct 22, 2021","1.2367","1.2363","1.2391","1.2320","0.02%"
"Oct 21, 2021","1.2364","1.2322","1.2385","1.2288","0.37%"
"Oct 20, 2021","1.2319","1.2363","1.2370","1.2306","-0.35%"
"Oct 19, 2021","1.2362","1.2378","1.2384","1.2311","-0.10%"
"Oct 18, 2021","1.2374","1.2371","1.2411","1.2346","0.06%"
"Oct 15, 2021","1.2366","1.2370","1.2399","1.2335","-0.01%"
"Oct 14, 2021","1.2367","1.2443","1.2450","1.2354","-0.59%"
"Oct 13, 2021","1.2441","1.2465","1.2479","1.2430","-0.19%"
"Oct 12, 2021","1.2465","1.2483","1.2500","1.2432","-0.14%"
"Oct 11, 2021","1.2482","1.2476","1.2493","1.2445","0.10%"
"Oct 08, 2021","1.2469","1.2549","1.2564","1.2449","-0.61%"
"Oct 07, 2021","1.2546","1.2588","1.2601","1.2538","-0.33%"
"Oct 06, 2021","1.2587","1.2582","1.2649","1.2574","0.05%"
"Oct 05, 2021","1.2581","1.2591","1.2631","1.2543","-0.05%"
"Oct 04, 2021","1.2587","1.2651","1.2656","1.2555","-0.47%"
"Oct 01, 2021","1.2647","1.2679","1.2739","1.2626","-0.24%"
"Sep 30, 2021","1.2678","1.2756","1.2764","1.2628","-0.60%"
"Sep 29, 2021","1.2754","1.2687","1.2775","1.2666","0.54%"
"Sep 28, 2021","1.2685","1.2628","1.2708","1.2591","0.46%"
"Sep 27, 2021","1.2627","1.2655","1.2674","1.2608","-0.20%"
"Sep 24, 2021","1.2652","1.2652","1.2731","1.2638","-0.02%"
"Sep 23, 2021","1.2655","1.2772","1.2797","1.2630","-0.90%"
"Sep 22, 2021","1.2770","1.2824","1.2833","1.2696","-0.35%"
"Sep 21, 2021","1.2815","1.2826","1.2850","1.2740","-0.08%"
"Sep 20, 2021","1.2825","1.2765","1.2896","1.2759","0.46%"
"Sep 17, 2021","1.2766","1.2680","1.2773","1.2636","0.67%"
"Sep 16, 2021","1.2681","1.2637","1.2700","1.2614","0.38%"
"Sep 15, 2021","1.2633","1.2694","1.2709","1.2622","-0.47%"
"Sep 14, 2021","1.2693","1.2651","1.2700","1.2598","0.33%"
"Sep 13, 2021","1.2651","1.2686","1.2696","1.2635","-0.30%"
"Sep 10, 2021","1.2689","1.2664","1.2695","1.2580","0.21%"
"Sep 09, 2021","1.2662","1.2690","1.2729","1.2620","-0.21%"
"Sep 08, 2021","1.2689","1.2645","1.2763","1.2624","0.33%"
"Sep 07, 2021","1.2647","1.2536","1.2657","1.2517","0.88%"
"Sep 06, 2021","1.2537","1.2526","1.2560","1.2515","0.09%"
"Sep 03, 2021","1.2526","1.2553","1.2563","1.2491","-0.20%"
"Sep 02, 2021","1.2551","1.2620","1.2639","1.2546","-0.52%"
"Sep 01, 2021","1.2616","1.2622","1.2638","1.2578","0.02%"
"Aug 31, 2021","1.2614","1.2606","1.2655","1.2567","0.10%"
"Aug 30, 2021","1.2601","1.2622","1.2636","1.2571","-0.20%"
"Aug 27, 2021","1.2626","1.2688","1.2709","1.2603","-0.44%"
"Aug 26, 2021","1.2682","1.2592","1.2697","1.2584","0.74%"
"Aug 25, 2021","1.2589","1.2587","1.2644","1.2584","0.00%"
"Aug 24, 2021","1.2589","1.2649","1.2662","1.2576","-0.44%"
"Aug 23, 2021","1.2645","1.2821","1.2842","1.2640","-1.37%"
"Aug 20, 2021","1.2821","1.2825","1.2950","1.2812","-0.04%"
"Aug 19, 2021","1.2826","1.2656","1.2831","1.2646","1.35%"
"Aug 18, 2021","1.2655","1.2630","1.2664","1.2595","0.20%"
"Aug 17, 2021","1.2630","1.2573","1.2650","1.2565","0.46%"
"Aug 16, 2021","1.2572","1.2519","1.2586","1.2510","0.47%"
"Aug 13, 2021","1.2513","1.2527","1.2535","1.2499","-0.10%"
"Aug 12, 2021","1.2525","1.2506","1.2534","1.2498","0.15%"
"Aug 11, 2021","1.2506","1.2524","1.2550","1.2486","-0.10%"
"Aug 10, 2021","1.2519","1.2574","1.2591","1.2516","-0.44%"
"Aug 09, 2021","1.2574","1.2552","1.2588","1.2529","0.18%"
"Aug 06, 2021","1.2552","1.2509","1.2582","1.2491","0.36%"
"Aug 05, 2021","1.2507","1.2536","1.2549","1.2472","-0.22%"
"Aug 04, 2021","1.2534","1.2538","1.2564","1.2513","-0.02%"
"Aug 03, 2021","1.2536","1.2512","1.2577","1.2487","0.22%"
"Aug 02, 2021","1.2509","1.2479","1.2516","1.2450","0.31%"
"Jul 30, 2021","1.2470","1.2447","1.2492","1.2420","0.21%"
